stid,station_name,lat,lon,elev,begints,iem_network,location,region_code
EDTY,Schwaebisch Hall,49.1183,9.784,397.607,27/06/13 3:20,DE__ASOS,Stuttgart-Süd|Baden-Württemberg-BW|Germany-DE,BW
EDOP,SCHWERIN-PARCHIM,53.427,11.78344,51,22/08/11 23:20,DE__ASOS,Mecklenburg-Vorpommern-MV|Germany-DE,MV
EDGS,SIEGERLAND      ,50.70766,8.08297,602,31/12/10 18:32,DE__ASOS,Germany-DE,-
ETAD,SPANGDAHLEM (USA,49.98015,6.69924,365,02/07/11 0:55,DE__ASOS,Rheinland-Pfalz-RP|Germany-DE,RP
EDDS,STUTTGART/ECHTER,48.68917,9.22528,419,31/12/10 18:50,DE__ASOS,Stuttgart-Süd|Baden-Württemberg-BW|Germany-DE,BW
ETNU,TROLLENHAGEN    ,53.60222,13.30611,71,22/08/11 14:20,DE__ASOS,Mecklenburg-Vorpommern-MV|Germany-DE,MV
ETML,Unknown,51.778,11.337,125,12/11/14 8:20,DE__ASOS,Sachsen-Anhalt-SA|Germany-DE,ST
EDXW,WESTERLAND/SYLT ,54.91325,8.34047,20,22/08/11 14:20,DE__ASOS,Schleswig-Holstein-SH|Germany-DE,SH
ETOU,WIESBADEN (USA-A,50.04982,8.3254,141,22/08/11 14:55,DE__ASOS,Darmstadt-DA|Hessen-HE|Germany-DE,HE
ETNT,WITTMUNDHAVEN(GA,53.54783,7.66733,12,22/08/11 17:20,DE__ASOS,Niedersachsen-NDS|Germany-DE,NI
ETNW,WUNSTORF (GER-AF,52.45806,9.42833,70,22/08/11 14:20,DE__ASOS,Lower Saxony-NDS|Germany-DE,NI
EDRZ,ZWEIBRUCKEN     ,49.20952,7.40065,344,22/08/11 14:20,DE__ASOS,Rheinland-Pfalz-RP|Germany-DE,RP
